Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Average.fruit.weight,Productivity.per.plant,Fruit.number.per.plant,Brix..,BNTC,FRAP..umol.Fe2..g.FW,TP..mg.GAE.100g.FW
CPSBB_TOM115,109.841,839.355,33.401,33.549,29.21,30.649,31.682,0.915,0.876,0.953,0.715,0.649,1.103,0.024,0.036,0.543,0.04,228.275,141.65,0.067,174.375,158.75,6e-04,0.0017,0.034025,0.083,0.031,0.012125,0.036,0.513,0.762,0.891,0.887,0.876,0.418,125.302,72.153,55.618,85.097,39.109,22.886,22.835,44.956,32.422,1.005,0.557,0.253,19.3,670,35,6.5,29.7,6.33,82.19
CPSBB_TOM116,146.444,1440.604,46.002,46.172,35.08,38.749,39.794,0.84,0.763,0.867,0.746,0.604,1.236,0.034,0.073,0.535,0.061,250.7,211.533,0.11,173.333,159.533,0.000166667,0.0011,0,0.159,0.068,0,0.121,0.456,0.723,0.889,0.886,0.762,0.44,134.014,84.086,52.282,87.695,43.566,18.92,31.836,59.543,37.697,1.535,0.663,0.185,50.3,653,14,7.2,46.3,5.35,82.24
CPSBB_TOM117,142.342,1369.865,34.671,35.073,48.345,48.556,49.537,1.384,1.394,1.437,0.645,0.675,0.958,0.034,0.113,0.492,0.009,172.5,137.2,0.014,161.6,134.575,0,0,0.1124,0.023,0.089,0.0723,0.046,0.531,0.796,0.889,0.887,1.397,0.389,119.221,71.568,55.428,82.165,38.019,20.362,21.248,46.862,29.588,1.038,0.545,0.26,27.2,961,35,6.6,31.5,4.45,70.8
CPSBB_TOM118,89.038,555.748,26.797,26.903,24.342,25.442,26.49,0.947,0.91,0.986,0.691,0.632,1.097,0.024,0.032,0.527,0.04,227.075,180.45,0.078,167.175,151.95,0,0,0.033925,0.097,0.03,0.005975,0.042,0.487,0.763,0.889,0.885,0.908,0.411,119.667,86.847,45.664,77.835,42.187,9.298,33.702,74.143,35.252,1.435,0.562,0.248,10.3,119,10,8.1,14.3,6.04,114.48
CPSBB_TOM119,107.152,793.765,31.623,31.856,28.66,30.459,31.516,0.963,0.913,1.006,0.75,0.6,1.26,0.031,0.041,0.535,0.043,235.05,186.35,0.05,123.375,145.575,0,0.001175,0,0.174,0.025,0,0.091,0.438,0.751,0.889,0.887,0.913,0.428,126.075,72.005,53.193,84.33,39.136,23.054,24.612,47.474,33.993,1.223,0.617,0.213,16.4,715,43,9.4,37.5,8.84,173.27
CPSBB_TOM120,116.474,944.46,34.544,34.629,31.56,33.549,34.282,0.969,0.914,0.992,0.727,0.631,1.154,0.027,0.029,0.54,0.04,237.425,184.15,0.066,131.55,156.75,0,0,0,0.14,0.029,0,0.074,0.471,0.753,0.891,0.887,0.915,0.423,135.1,112.85,62.678,93.079,51.918,1.596,36.641,87.507,36.677,0.952,0.538,0.264,12.2,486,40,6.7,29.2,6.79,118.64
CPSBB_TOM121,117.604,951.95,32.491,32.639,34.184,35.983,36.837,1.104,1.054,1.138,0.731,0.606,1.207,0.029,0.048,0.522,0.036,237.35,177.85,0.046,167.05,143.825,0,0,0,0.157,0.045,0,0.089,0.459,0.759,0.89,0.887,1.054,0.418,121.025,69.287,51.701,81.249,37.562,22.328,23.198,46.081,32.199,0.671,0.556,0.252,20.6,1250,61,7.5,38.6,7.93,154.6
CPSBB_TOM123,175.659,2162.926,50.694,50.758,51.414,53.213,53.507,1.052,1.018,1.061,0.637,0.643,0.992,0.018,0.028,0.518,0.024,215.975,158.7,0.056,176,155.625,0.000875,0.005325,0.054175,0.063,0.041,0.027075,0.036,0.477,0.771,0.89,0.886,1.016,0.397,138.515,96.767,62.541,94.624,47.649,13.979,31.059,65.771,34.21,0.799,0.619,0.212,64.6,1640,25,6,37.8,7.26,138.34
CPSBB_TOM124,148.593,1551.873,41.762,41.825,46.757,47.308,47.852,1.131,1.12,1.152,0.575,0.633,0.907,0.016,0.047,0.482,0.009,177.775,139,0.013,165.7,149.575,0,0,0.129475,0,0.058,0.067675,0,0.516,0.791,0.889,0.888,1.121,0.37,108.902,63.576,46.421,73.091,34.189,19.811,21.695,47.717,29.395,0.85,0.558,0.251,46.2,866,19,6.4,36.8,6.32,79.11
CPSBB_TOM125,190.588,2491.038,59.224,59.351,48.768,52.366,54.305,0.89,0.83,0.924,0.656,0.659,0.994,0.024,0.053,0.515,0.065,181.75,158,0.048,180.55,165.15,0.015,0.02295,0.05185,0.041,0.078,0.0645,0.025,0.508,0.745,0.89,0.888,0.831,0.42,99.133,64.314,48.138,69.296,32.855,14.783,18.288,51.049,23.515,0.923,0.657,0.188,98.2,1817,19,5.8,25.5,4.66,66.02
CPSBB_TOM126,98.208,664.95,25.823,25.972,30.586,31.941,32.777,1.231,1.186,1.275,0.744,0.546,1.364,0.035,0.068,0.529,0.026,217.475,168.625,0.035,143.875,127.85,0,0,0,0.177,0.03,0,0.108,0.449,0.766,0.89,0.886,1.186,0.407,128.637,80.717,52.147,85.074,41.793,18.512,29.133,57.637,34.529,1.036,0.573,0.24,12.2,320,26,8.6,9.3,6.7,127.61
CPSBB_TOM127,107.136,794.988,30.078,30.353,31.157,32.618,33.121,1.076,1.037,1.098,0.721,0.611,1.182,0.028,0.045,0.526,0.036,223.05,175.758,0.058,157.4,147.45,0,0,0,0.15,0.035,0,0.072,0.457,0.762,0.89,0.886,1.035,0.413,113.118,77.262,48.83,76.21,38.558,12.807,26.285,63.982,29.242,1.004,0.604,0.223,15.6,942,60,8.4,25.7,7.14,130.81
CPSBB_TOM128,133.321,1215.145,39.92,40.153,34.248,36.999,38.284,0.922,0.858,0.956,0.744,0.645,1.157,0.031,0.04,0.543,0.055,247.05,189.725,0.083,128.725,162.025,2.5e-05,0.001575,0,0.17,0.041,0,0.097,0.431,0.742,0.892,0.889,0.861,0.436,132.015,71.874,55.788,88.361,40.121,26.263,24.61,43.172,35.992,0.889,0.602,0.221,35.4,1799,51,5.6,34,6.15,89.79
CPSBB_TOM129,196.634,2577.595,53.594,53.869,53.975,58.653,59.831,1.089,1.007,1.117,0.77,0.618,1.248,0.04,0.053,0.542,0.058,266.475,200,0.092,165,147.275,0,0,0,0.165,0.079,0,0.185,0.461,0.734,0.89,0.886,1.004,0.439,142.776,80.259,63.191,96.908,44.081,26.56,25.591,44.041,36.925,1.553,0.537,0.266,96.7,2170,22,4.7,20.9,3.15,46.23
