Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
CPSBB_TOM144,86.74947264,552.0292606,25.74157659,25.8674465,24.77082824,25.46158557,26.62630641,0.992471547,0.970215122,1.029909059,0.725840908,0.595812465,1.229954523,0.02501292,0.031684839,0.524775075,0.016710918,200.3585977,177.1144,0.031472466,164.9002148,145.0340708,0.001535025,0.002619065,0.004509033,0.146872187,1.28304623,0.891995783,0.060825466,0.45573659,0.773933287,0.890227955,0.884412644,0.967738635,0.404568967,115.2750898,59.66118662,46.69787901,76.39904738,34.26020015,25.47614386,21.70998497,40.31734581,33.49941599,1.735655736,0.570287356,0.243336419
CPSBB_TOM145,164.4690849,1732.344595,38.51526141,39.62563471,55.46669457,58.16035267,58.36452654,1.461835045,1.434757323,1.509191893,0.786024156,0.356287088,2.482181111,0.044985676,0.114549986,0.480419339,0.020130156,243.4949024,174.1192586,0.055557715,106.2059376,97.30491262,0.003814785,0.188558935,0.004509033,0.232805896,1.283046231,0.891995783,0.37423805,0.424495668,0.762013682,0.890016703,0.882063736,1.43482593,0.382450366,131.8956518,73.98046689,43.74569476,82.65949003,40.43890773,23.85002854,33.30700814,54.49581135,40.99315689,2.065396663,0.588147851,0.230130227
CPSBB_TOM146,220.7936752,3087.443543,67.86134123,68.37377608,47.72453826,56.12324258,56.95779577,0.842668969,0.739321003,0.862156423,0.738438283,0.639258291,1.164772703,0.045364307,0.084013217,0.540917723,0.084364679,246.8313031,217.8571321,0.174133008,175.5592348,168.0300157,0.023519842,0.004376229,0.004509033,0.153076787,1.283046231,0.891995783,0.178247572,0.448746119,0.687664852,0.889946286,0.88706691,0.738641465,0.46413001,144.4752729,73.12164746,57.34539531,94.73568915,42.58207885,31.27754685,27.50358319,41.3822799,41.60032982,1.324316316,0.649035149,0.195128523
CPSBB_TOM147,240.0582344,3261.219657,77.45017138,78.53229928,40.08795409,52.77195507,57.39424441,0.689365109,0.546140164,0.75313943,0.772288473,0.590504869,1.334399246,0.071783187,0.163941388,0.543614719,0.120670665,263.9839454,249.8162202,0.190729862,166.0692364,120.0751117,0.004807781,0.00644112,0.005349883,0.177056869,1.283046232,0.891995783,0.273643116,0.43438393,0.61277009,0.889715108,0.886626947,0.544729395,0.51240794,145.9733347,69.57464579,54.94019147,94.21798311,41.98745038,33.90645802,28.34915932,39.86958895,44.06828752,1.522587685,0.763334386,0.12617619
CPSBB_TOM148,223.832367,3386.212738,65.25233698,65.78498194,60.06163286,64.69170563,65.05184887,0.9879528,0.926005503,1.006128313,0.722506866,0.603117139,1.216524673,0.034880976,0.051052518,0.526007179,0.048686694,233.071118,201.4058776,0.083184913,158.4386193,145.6512582,0.001535025,0.002619065,0.026837466,0.125685304,1.283046231,0.891995783,0.167554299,0.459087693,0.741671842,0.892457833,0.887043421,0.924492067,0.422054778,151.7868809,87.77476181,53.65271015,96.37828728,47.04978948,25.21725033,36.47687073,55.4704331,44.35593082,1.037314742,0.711303071,0.156161103
CPSBB_TOM149,182.8971839,2218.882547,44.02547839,44.5735719,65.2230704,66.87582367,67.45707258,1.489045231,1.470242001,1.526681307,0.618829525,0.458149077,1.340836326,0.036419163,0.121821777,0.445335707,0.005934421,178.9385105,126.7035277,0.013808426,122.5950518,113.3060672,0.001733265,0.027219357,0.004509033,0.145010807,1.283046231,0.891995783,0.208741525,0.467159165,0.778691612,0.889641144,0.88603339,1.47037339,0.347478744,136.8477682,117.5522571,71.1740653,97.7461945,53.45806794,-0.004714875,33.33446445,90.11988728,33.57566561,0.988109029,0.582032586,0.236170992
CPSBB_TOM150,98.39428378,700.3707863,27.53657152,27.60026839,30.20502467,30.79587385,31.82250125,1.119289578,1.099846305,1.154472556,0.693864414,0.609614902,1.137164524,0.023522063,0.044850108,0.5272184,0.018078613,232.4788575,167.7545832,0.030901184,162.2006264,143.3425201,0.001535025,0.002619065,0.004509033,0.126397008,1.28304623,0.891995783,0.055841313,0.477861073,0.781499024,0.890040175,0.885962923,1.099573664,0.393545303,117.1183133,65.74479883,50.48447548,78.99554184,36.16818712,22.67296463,21.81012978,43.92461343,31.58426502,0.899264207,0.60734684,0.219119704
CPSBB_TOM151,106.7325707,824.1327886,31.98231476,32.13065813,29.89030288,30.5858625,31.7245998,0.957127616,0.939482857,0.994347249,0.715459914,0.635818299,1.127305988,0.020090725,0.02619535,0.538996476,0.016333623,202.6289295,176.8133443,0.031952343,167.8262203,154.5204695,0.001535025,0.002619065,0.004509033,0.12046614,1.28304623,0.891995783,0.048999431,0.484293028,0.779714652,0.889171696,0.887583669,0.940304474,0.407134819,124.4013002,110.5612841,64.63235871,89.02977615,49.96501241,-2.510329013,32.28322431,94.55711265,32.63793158,0.92365588,0.575588515,0.239595823
CPSBB_TOM152,100.5555465,681.4740233,22.46466725,22.71496332,35.47136948,35.73114056,36.97503574,1.582473384,1.587638768,1.657026028,0.706348129,0.668519458,1.057654679,0.044914683,0.150124728,0.520201673,0.01083926,184.2293707,137.7591231,0.021966333,153.2658595,125.421227,0.001535025,0.002619065,0.0722452,0.06728907,1.28304623,0.891995783,0.043245,0.518164385,0.789921259,0.889289058,0.88680853,1.588272062,0.405614314,123.1385607,61.3099634,50.12129972,81.53863071,35.97193758,28.42483132,22.0049818,37.63087089,35.94682926,1.031127071,0.562943547,0.247659965
CPSBB_TOM153,40.70478946,140.307265,12.50872346,12.6729309,10.29364192,10.78180052,12.24894869,0.867070204,0.836513926,1.008241617,0.624247344,0.648686418,0.993948432,0.023877029,0.052882348,0.528889049,0.018055032,194.1596047,141.3709112,0.03030705,174.6361498,122.9296187,0.007402929,0.013441596,0.041696742,0.13210889,1.283046933,0.891995783,0.026842606,0.452835905,0.782498272,0.905156403,0.879973209,0.872035808,0.409676914,98.33279547,98.60584773,61.76298866,77.45641704,43.57039689,-8.126535194,24.14903669,108.7817174,25.81694997,1.420739173,0.554067752,0.248874444
