Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-80,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-81,4,225.9126969,3411.240489,69.342,69.596,56.21866667,62.39933333,62.5295168,0.8966,0.8107,0.9029,0.6239,0.6532,0.9551,0.0314,0.054,0.508,0.0615,242,196.3,0.115,185.9,169.3,0.0062,0.0092,0.1051,0,0.1563,0.1228,0,0.4885,0.7201,0.8893,0.8878,0.8104,0.4279,129.9589,80.0484,62.5327,90.5869,42.1143,20.6549,22.7293,47.7376,30.7123,0.7468,0.6675,0.1808
LYC-82,4,215.926416,3075.929332,68.24133333,68.41066667,48.17533333,54.27133333,54.90900033,0.7933,0.706,0.8056,0.773,0.6811,1.1348,0.0449,0.0933,0.5833,0.0936,255.2,225.3,0.2035,169.7,169.8,0,0,0,0.1557,0.095,0,0.1426,0.4477,0.7094,0.8919,0.8867,0.705,0.4648,142.4136,79.9819,62.6477,96.4986,44.0411,26.4289,25.7603,44.266,36.9064,.,.,.
LYC-83,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-84,4,141.5227125,1327.574406,44.28066667,44.61933333,33.44333333,37.25333333,39.6770606,0.8349,0.7553,0.8977,0.7228,0.6176,1.1703,0.0315,0.066,0.5351,0.0763,265.6,210.8,0.1132,173.6,160.7,0,0,0,0.1509,0.0413,0,0.0998,0.4523,0.7153,0.8895,0.8845,0.7548,0.446,142.524,77.8749,59.5626,95.0764,43.3188,27.6178,26.881,44.2254,38.54,1.1047,0.558,0.2519
LYC-85,4,106.8698057,797.0665062,31.32666667,31.41133333,30.31066667,31.496,32.71483593,1.0027,0.9676,1.0471,0.7189,0.6189,1.1616,0.0288,0.0304,0.5195,0.0327,221.5,174.3,0.0565,162.5,152,0,0,0,0.1392,0.056,0,0.0703,0.4489,0.7709,0.8882,0.8882,0.9662,0.402,134.0342,86.0694,48.3728,85.8374,43.9319,17.2667,34.9009,63.6768,38.9386,0.9373,0.6,0.2224
LYC-86,4,158.1088701,1734.32628,48.514,48.768,42.07933333,44.28066667,43.91023307,0.908,0.8674,0.9095,0.7103,0.6318,1.1243,0.0248,0.0414,0.5347,0.0404,221.6,195.7,0.1097,173.7,156.5,0,0,0,0.0921,0.0598,0,0.091,0.5354,0.7586,0.8899,0.8859,0.8684,0.4138,125.5198,63.8237,48.9311,82.0741,36.946,27.6748,24.6873,41.7345,37.0858,0.689,0.5583,0.2522
LYC-87,4,183.4138064,2271.214096,50.20733333,50.88466667,51.98533333,55.372,56.3304182,1.0882,1.0354,1.1201,0.8263,0.5329,1.5506,0.0471,0.0563,0.5392,0.0474,242.8,199.5,0.0786,153.6,129.8,0,0,0,0.2403,0.0262,0,0.2972,0.4205,0.7504,0.8909,0.8861,1.0381,0.4267,128.8533,77.8782,44.1356,81.4059,40.9298,19.7972,33.5256,59.4378,38.9345,1.2017,0.5887,0.231
LYC-88,4,205.4312715,2875.349088,57.23466667,57.23466667,60.62133333,63.83866667,64.4337294,1.1154,1.0592,1.1274,0.7278,0.497,1.4643,0.0255,0.0367,0.5126,0.0312,217.6,172.2,0.0388,117.2,134,0.0025,0.0921,0,0.148,0.0432,0,0.231,0.496,0.7596,0.8896,0.8882,1.0593,0.3952,136.5634,119.2925,69.4742,96.9884,54.1287,-1.0541,35.3804,91.7066,35.3961,2.732,0.5878,0.2318
LYC-89,4,257.3896131,4237.704786,81.534,81.788,54.52533333,62.31466667,65.899411,0.7619,0.6687,0.8091,0.7664,0.7466,1.0264,0.0492,0.1074,0.5943,0.0686,272.4,222,0.0905,175.3,171.2,0,0,0.0742,0,0.1069,0.1306,0,0.466,0.6993,0.8893,0.8877,0.6693,0.4755,128.4725,60.5296,52.5694,85.0874,36.7752,31.3291,21.6361,34.6292,38.074,1.0536,0.7187,0.1519
LYC-90,4,191.7798213,2448.919833,58.674,59.182,46.65133333,51.22333333,52.31260387,0.8655,0.7951,0.9001,0.7677,0.6219,1.2343,0.0375,0.0635,0.5369,0.0769,243.1,216.3,0.1802,170.2,151,0,0,0,0.171,0.0983,0,0.1789,0.4347,0.7285,0.8907,0.8889,0.7971,0.4416,121.5609,77.1901,44.3761,78.0877,39.6776,16.6814,31.3198,61.9596,35.4852,1.9697,0.6679,0.1818
LYC-91,4,128.9127978,1161.488716,35.89866667,35.98333333,39.37,40.132,41.144063,1.1153,1.0967,1.1488,0.6274,0.6533,0.9603,0.0162,0.0451,0.508,0.019,201.5,151.4,0.0195,166.8,153.9,0,0,0.1047,0,0.0259,0.0354,0,0.4852,0.7822,0.8894,0.8852,1.0947,0.3938,131.3387,75.7362,58.6094,89.3813,40.9984,23.7312,23.7082,44.9722,33.5447,0.9887,0.5863,0.2312
LYC-92,4,154.9616831,1655.007443,46.05866667,46.56666667,42.672,44.78866667,44.58644033,0.9618,0.9265,0.9689,0.7096,0.6213,1.142,0.0279,0.0287,0.5295,0.0354,222.9,193.8,0.0771,173.6,155.2,0,0,0,0.1472,0.0705,0,0.118,0.4518,0.7614,0.8894,0.8874,0.9263,0.4065,130.0142,96.545,62.2052,90.5501,46.6068,9.9117,29.3212,71.3227,30.9511,0.5566,0.6342,0.2026
LYC-93,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-94,4,239.6627414,3475.677636,79.502,80.772,44.36533333,53.25533333,54.51475,0.6593,0.558,0.6864,0.7796,0.6848,1.1384,0.0631,0.1578,0.5669,0.1408,238.5,260,0.247,178.1,169.9,0,0,0,0.1461,0.1076,0,0.1944,0.469,0.6656,0.8913,0.8875,0.5573,0.4922,150.1273,125.7534,84.5259,110.4523,57.8349,2.939,31.1586,84.6116,31.2969,1.561,0.7181,0.1514
