Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-54,3,311.10,4613.68,49.23,58.42,98.49,110.43,112.55,1.89,2.02,2.24,1.09,0.53,2.11,0.09,0.22,0.48,0.05,260.65,169.80,0.18,76.70,93.38,0.00,0.05,0.00,0.45,0.28,0.00,1.25,0.24,0.71,0.87,0.90,2.02,0.47,128.76,63.14,51.46,84.71,37.23,29.70,23.95,38.83,38.19,4.07,0.64,0.19
CAPS-55,3,322.85,5387.04,60.16,67.35,95.86,113.33,112.96,1.69,1.64,1.93,0.68,0.49,1.54,0.09,0.19,0.45,0.08,268.23,257.73,0.31,98.93,83.68,0.00,0.02,0.00,0.28,0.40,0.00,1.14,0.28,0.67,0.85,0.88,1.64,0.46,108.41,49.64,40.61,69.96,30.15,27.85,20.41,36.17,34.53,4.58,0.68,0.18
CAPS-56,3,267.18,3169.52,34.88,48.51,87.63,98.28,99.70,2.02,2.58,2.94,1.33,0.45,2.96,0.11,0.26,0.41,0.05,265.80,155.58,0.19,48.23,53.23,0.00,0.15,0.00,0.55,0.20,0.00,1.44,0.20,0.71,0.88,0.90,2.59,0.52,146.57,93.56,51.58,93.25,47.58,19.08,38.34,63.47,42.96,3.95,0.69,0.17
CAPS-57,3,282.55,4031.91,48.26,52.66,91.84,102.74,103.54,1.96,1.93,2.18,1.03,0.41,2.58,0.09,0.22,0.48,0.06,254.50,221.15,0.25,80.15,68.68,0.00,0.01,0.00,0.45,0.20,0.00,1.11,0.26,0.72,0.88,0.89,1.93,0.45,132.15,59.40,48.60,84.97,36.88,33.19,25.22,37.18,41.69,2.46,0.68,0.19
CAPS-58,3,279.06,3311.07,41.68,50.02,83.67,95.12,98.09,1.92,2.02,2.32,1.13,0.50,2.48,0.11,0.24,0.48,0.08,248.13,239.25,0.43,116.95,101.18,0.02,0.09,0.00,0.52,0.28,0.00,1.11,0.18,0.70,0.89,0.90,2.02,0.47,130.14,62.41,48.38,83.90,37.13,30.36,25.81,40.40,39.86,6.47,0.86,0.12
CAPS-59,3,300.34,4502.59,52.75,55.50,101.43,113.14,112.31,2.06,1.95,2.18,0.87,0.34,2.94,0.07,0.22,0.45,0.05,261.85,177.25,0.19,63.88,58.45,0.00,0.05,0.00,0.32,0.22,0.00,1.06,0.38,0.72,0.89,0.88,1.95,0.41,123.42,54.82,45.16,79.21,34.33,31.77,23.65,36.65,39.60,5.37,0.66,0.19
CAPS-60,3,322.28,5568.42,60.06,64.29,106.00,117.04,117.25,1.83,1.76,1.95,0.95,0.41,2.33,0.08,0.19,0.47,0.05,266.93,193.90,0.13,102.73,73.73,0.00,0.00,0.00,0.37,0.21,0.00,1.10,0.33,0.72,0.89,0.89,1.76,0.43,127.61,60.20,48.85,82.99,36.24,30.69,23.86,37.81,38.88,3.99,0.71,0.20
CAPS-61,3,296.93,4692.06,56.28,60.98,91.86,104.80,104.64,1.72,1.64,1.88,0.93,0.43,2.24,0.08,0.18,0.47,0.08,265.48,220.53,0.24,100.65,80.40,0.00,0.01,0.00,0.38,0.21,0.00,1.00,0.29,0.70,0.89,0.89,1.64,0.45,132.18,60.74,49.25,85.33,37.36,32.44,25.59,38.25,41.33,5.10,0.65,0.20
CAPS-62,3,178.30,1245.60,22.01,24.51,63.18,72.33,72.33,2.99,2.98,3.41,0.98,0.34,3.12,0.09,0.32,0.42,0.04,293.30,145.75,0.14,41.68,61.50,0.00,0.08,0.00,0.38,0.19,0.00,0.81,0.26,0.69,0.88,0.92,2.98,0.45,134.00,57.25,46.10,84.62,36.76,34.81,26.92,37.63,44.02,7.36,0.70,0.15
CAPS-63,3,215.27,2079.41,29.82,34.23,76.67,85.60,87.31,2.51,2.68,3.14,1.00,0.41,2.52,0.09,0.29,0.42,0.01,187.70,129.40,0.03,51.30,55.60,0.00,0.09,0.00,0.39,0.28,0.00,0.72,0.30,0.72,0.89,0.90,2.69,0.46,145.98,67.91,53.63,93.87,41.53,34.44,29.07,40.18,45.06,2.73,0.61,0.24
