Genotype Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-12 CAPS-12,1,129.73,770.16,16.91,22.08,47.41,50.95,51.36,2.32,2.8,3.06,1.19,0.44,2.74,0.1,0.3,0.4,0.03,230.45,148.58,0.11,51.78,41.75,0,0.06,0,0.53,0.13,0,0.71,0.19,0.74,0.88,0.89,2.81,0.48,184.42,173.59,120.76,143.67,75.61,-6.31,35.2,100.17,35.77,1.06,0.58,0.24
CAPS-13 CAPS-13,1,151.12,903.1,17.84,19.33,55.12,63.18,64.01,3.29,3.1,3.61,0.93,0.44,2.1,0.08,0.35,0.41,0.01,148.05,82.03,0.04,49.63,35.43,0,0,0,0.37,0.18,0,0.7,0.32,0.7,0.88,0.88,3.11,0.46,140.63,146.06,89.39,111.33,62.8,-13.64,35.4,111.1,37.95,1.38,0.51,0.28
CAPS-14 CAPS-14,1,362.06,2494.77,17.57,24.34,151.55,162.94,164.34,6.76,8.62,9.45,1.07,0.48,2.25,0.12,0.46,0.4,0.08,45.58,12.75,0.01,28.23,20.65,0,0.04,0,0.5,0.26,0,2.13,0.19,0.74,0.89,0.93,8.69,0.47,138.35,140.12,87.33,107.73,60.82,-11.31,33.6,108.59,35.46,3.69,0.55,0.25
CAPS-15 CAPS-15,1,453.39,5348.58,31.98,47.2,172.49,191.07,192.8,4.1,5.44,6.11,1.22,0.54,2.29,0.12,0.42,0.36,0.01,91.28,71.48,0.01,43.85,15.53,0,0.25,0,0.55,0.64,0,3.08,0.14,0.72,0.91,0.89,5.47,0.49,138.46,146.26,87.58,110.42,62.7,-15.06,36.28,112.56,39.28,1.76,0.56,0.25
CAPS-16 CAPS-16,1,347.41,3837.44,30.1,40.68,127.04,141.08,143.98,3.47,4.25,4.95,1.21,0.61,1.98,0.1,0.39,0.43,0.01,194.15,110.15,0.08,54.78,37.6,0,0,0,0.55,0.41,0,1.75,0.09,0.72,0.89,0.92,4.26,0.5,136.26,145.23,92.45,111.94,62.16,-14.74,32.41,114.45,35.61,3.23,0.8,0.17
CAPS-17 CAPS-17,1,387.94,3407.52,23.69,47.31,130.03,155.85,166.73,3.42,5.52,7.22,1.28,0.59,2.14,0.19,0.41,0.31,0.02,199.98,23.45,0.07,31.55,21.3,0,0.04,0,0.49,0.92,0,1.55,0.18,0.66,1.01,1.06,5.54,0.55,133.61,137.25,93.6,108.89,59.59,-10.85,27.63,111.35,29.69,3.82,0.56,0.25
CAPS-18 CAPS-18,1,333.38,3871.12,32.47,38.33,127.17,136.61,135.86,3.57,3.94,4.25,1,0.71,1.46,0.08,0.37,0.52,0.03,194.53,93.25,0.14,98.15,63.38,0.01,0.05,0,0.29,0.29,0,1.14,0.32,0.74,0.88,0.91,3.95,0.47,136.81,141.54,101.85,114.72,61.21,-10.8,25.02,113.35,27.25,6.11,0.61,0.22
CAPS-19 CAPS-19,1,399.33,4400.88,28.64,46.5,144.12,163.7,165.28,3.55,5.06,5.91,1.57,0.49,3.22,0.13,0.41,0.34,0.01,220.38,139.35,0.01,42.4,26.08,0,0.04,0,0.67,0.43,0,3.14,0.1,0.7,0.89,0.9,5.08,0.53,133.39,140.32,96.15,111.55,60.53,-12.49,27.43,114.49,30.14,4.39,0.7,0.16
CAPS-20 CAPS-20,1,361.97,5097.91,43.65,48.41,132.67,143.07,147.59,2.96,3.08,3.38,1.06,0.42,2.57,0.08,0.32,0.48,0.01,198.9,147,0.01,47.88,40.23,0,0.05,0,0.44,0.28,0,1.61,0.27,0.74,0.89,0.89,3.09,0.43,129.46,138.99,81.67,103.96,59.54,-15.51,35.28,113.76,38.54,3.59,0.66,0.19
CAPS-21 CAPS-21,1,339.41,4408.49,40.34,43.16,131.66,139.45,140.69,3.25,3.3,3.56,0.88,0.38,2.36,0.07,0.34,0.45,0.03,133.4,81.55,0.1,48,52.28,0,0.01,0,0.31,0.18,0,1.24,0.35,0.76,0.89,0.89,3.31,0.4,120.61,124.3,81.4,97.02,54.1,-10.57,27.35,111.17,29.33,3.96,0.59,0.22
CAPS-22 CAPS-22,1,297.66,3970.45,43.58,49.45,101.13,108.03,114.18,2.19,2.33,2.61,1.11,0.47,2.39,0.08,0.25,0.5,0.02,173.83,136.33,0.03,74.7,67.3,0,0.02,0,0.44,0.24,0,1.17,0.11,0.75,0.89,0.9,2.33,0.44,138.26,144.87,90.15,111,62.21,-13.91,34.03,112.25,36.77,2.35,0.66,0.2
CAPS-23 CAPS-23,1,319.08,4794.04,47.5,55.69,116.1,121.03,123.32,2.19,2.45,2.61,1.12,0.38,2.96,0.09,0.26,0.46,0.01,44.5,83.18,0.01,63.13,56.68,0,0.01,0,0.55,0.22,0,1.58,0.18,0.77,0.89,0.87,2.46,0.43,135.72,144.92,91.38,111.39,61.92,-14.91,32.9,114.4,36.12,1.98,0.67,0.2
CAPS-24 CAPS-24,1,369.85,5889.29,49.09,56.2,134.34,147.57,146.87,2.68,2.75,3.04,1.1,0.35,3.13,0.09,0.3,0.43,0.02,93.83,157.68,0.06,45.38,46.93,0,0.03,0,0.55,0.33,0,1.88,0.15,0.73,0.89,0.83,2.75,0.44,128.8,138.46,85.97,105.81,59.37,-14.92,32.27,114.83,35.56,3.47,0.67,0.2
