Taxa,Cultivation type ,Plant growth habit ,Leaf type ,Inflorescence type,Stype position ,After the fruit turns colour. ,Exterior colour of inmature fruit,Presence of jointless pedicel,Exterior color of mature fruit ,Presence of green (shoulder) trips on the fruit ,Intensity of greenback (green shoulder),Fruit fasciation ,Fruit size,Shape of pistil scar,Blossom end shape  ,Ribbing at calix end ,Skin colour of ripen fruit ,Transvers section ,Number of locules,Puffiness,Varietal type,Fruit ize variation within a plant,Fruit set ,Flowering earliness,Maturity earliness,Fruit yield per plant,Average fruit weight,Productivity per plant,Fruit number per plant,"Brix,%",BNTC,"FRAP, umol Fe2+/g FW","TP, mg GAE/100g FW",Resistance
CPSBB_TOM039,2,2,3,1,2,3,5,0,4,0,0,1,4,1,3,3,2,1,2,0,4,5,3,5,5,5,167.4,3376,24,4.9,23.36,3.68,38.85,0
CPSBB_TOM040,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,3,4,5,3,5,5,5,137.1,2488,18,4.5,17.92,3.19,31.56,0
CPSBB_TOM041,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,3,4,5,3,5,5,5,176.97,2472,16,5,19.2,3.12,29.5,0
CPSBB_TOM042,2,2,3,1,2,3,5,1,4,1,5,1,4,1,2,3,2,3,2,0,4,5,3,5,5,5,194.18,2335,15,5.9,28.8,4.23,48.5,0
CPSBB_TOM043,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,0,4,3,3,5,5,5,166.83,3259,25,4.8,21.44,3.82,40.67,0
CPSBB_TOM044,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,0,4,3,3,5,5,5,152.79,2323,17,5.4,22.9,3.69,35.36,0
CPSBB_TOM045,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,0,4,3,3,5,5,5,134.56,2163,19,4.8,25.28,4.72,47.24,0
CPSBB_TOM046,2,2,3,1,2,4,5,0,4,0,0,1,3,1,3,0,2,1,1,0,3,3,3,5,5,5,79.22,3076,46,5.7,17.92,3.59,38.67,0
CPSBB_TOM047,2,2,3,1,2,4,5,1,4,1,5,1,3,1,3,0,2,1,1,0,3,3,3,5,5,5,88.25,3267,48,5.5,18.56,3.61,32.27,0
CPSBB_TOM048,2,2,3,1,2,4,5,0,4,0,0,1,3,1,2,0,2,1,1,3,3,3,3,5,5,5,75.38,3208,53,4.8,19.52,3.74,27.83,0
CPSBB_TOM049,2,2,3,1,2,4,5,0,4,0,0,1,3,1,3,0,2,1,1,0,3,3,3,5,5,5,67.62,3223,46,4.1,16.54,3.18,37.5,0
CPSBB_TOM050,2,2,3,1,2,4,5,0,3,0,0,1,3,1,3,3,2,1,1,5,3,3,3,7,7,5,88.15,2640,32,4.8,17.6,3.05,29.49,0
CPSBB_TOM051,2,2,3,1,2,4,5,0,4,0,0,1,3,1,3,0,2,1,1,3,3,3,3,5,5,3,90.94,2333,29,4.5,18.44,3.22,29.25,0
CPSBB_TOM052,2,2,3,1,2,9,5,0,4,0,0,1,3,1,3,0,2,1,1,3,3,3,3,5,5,3,48.77,1733,28,5.3,23.53,3.54,42.15,1
CPSBB_TOM053,2,3,3,3,2,2,5,1,4,1,5,1,4,4,2,0,2,2,3,0,1,3,3,5,5,5,170.26,1440,8,5.4,29,3.91,63.08,0
CPSBB_TOM054,2,3,2,3,2,2,5,1,5,1,5,1,4,4,2,0,1,2,2,0,1,3,5,5,5,5,206.6,1541,8,5.9,25.7,3.5,61.47,0
CPSBB_TOM055,2,3,3,2,2,4,5,1,5,1,3,1,3,2,2,0,1,2,2,0,4,5,1,5,5,7,163.61,1633,11,6.1,27,3.11,52.43,0
CPSBB_TOM056,2,4,3,2,2,5,5,1,4,1,3,3,4,4,3,1,2,3,3,5,1,5,3,7,7,5,265.78,1201,4,5,19.4,2.95,55.8,0
CPSBB_TOM057,2,4,3,1,2,6,5,1,4,1,5,1,3,1,3,0,2,1,1,0,4,5,1,5,5,7,133.8,1277,9,6.3,27.5,2.89,52.88,0
CPSBB_TOM058,2,4,3,1,2,3,5,1,5,0,0,1,4,1,2,0,1,1,2,0,4,3,1,5,5,7,135.19,2010,13,6.1,27.7,2.85,52.37,0
CPSBB_TOM059,2,3,3,1,2,4,3,0,9,1,5,3,4,4,2,1,2,2,3,0,4,5,1,5,5,5,176.89,1285,7,5.7,33.5,3.53,59.01,0
CPSBB_TOM060,2,4,3,1,2,2,5,1,9,1,5,1,4,2,2,0,2,1,3,0,4,3,5,5,5,5,210.05,1899,9,6.5,25.5,2.69,46.43,0
CPSBB_TOM061,2,4,3,3,2,2,5,1,4,1,5,1,4,4,2,0,2,1,3,0,4,3,1,5,5,5,219.09,1755,6,6.2,19.7,3.43,62.32,0
CPSBB_TOM062,2,3,3,3,2,2,5,1,5,1,5,3,5,4,2,0,1,1,3,0,4,3,3,5,5,9,315.94,2242,8,5.4,20.7,2.63,52.62,0
CPSBB_TOM063,2,3,2,3,2,2,5,1,5,1,5,3,5,4,2,1,1,2,3,0,4,3,3,5,5,7,298.22,2595,8,5.4,29.2,3.48,65.31,0
CPSBB_TOM064,2,4,3,3,2,2,5,1,5,1,5,3,5,4,2,1,1,3,3,0,4,5,3,5,5,7,286.12,2844,10,4.6,21.7,3.06,62.04,0
CPSBB_TOM065,2,4,3,3,2,2,5,1,5,1,5,3,5,4,2,1,1,3,2,0,4,1,1,5,5,7,257.24,2510,9,5.2,29.2,2.58,55.92,0
CPSBB_TOM066,2,3,3,3,2,2,5,1,5,1,5,1,3,2,2,0,1,1,2,0,4,1,1,5,5,5,160.29,1564,9,6,29.2,3.09,70.59,0
CPSBB_TOM067,2,4,3,3,2,2,5,1,5,1,5,1,4,2,2,0,1,1,2,0,4,1,1,5,5,5,200.16,2161,10,6.2,27,3.64,78.06,0
CPSBB_TOM068,2,4,3,3,2,2,5,1,4,0,0,3,5,2,2,1,2,2,3,0,1,3,5,5,5,5,304.59,2608,9,4.2,22.2,3,61.42,0
CPSBB_TOM069,2,4,3,3,3,5,5,1,5,1,3,5,4,2,2,0,1,1,2,0,2,3,1,5,5,7,247.25,2064,10,NA,NA,NA,NA,NA
CPSBB_TOM070,2,4,3,3,2,9,5,1,4,1,5,1,3,1,3,0,2,2,1,3,4,1,1,5,5,7,93.63,2554,21,5.7,28.7,4.61,75.85,0
CPSBB_TOM071,2,1,1,1,2,2,5,1,4,1,3,1,2,1,2,0,2,2,1,0,4,1,1,5,5,1,44.81,312,8,4.2,18.6,2.98,51.61,0
CPSBB_TOM072,2,4,3,3,2,5,5,1,5,1,5,1,4,2,2,0,1,3,3,3,2,7,3,5,5,5,205.51,2421,10,5.5,19.2,1.77,35.87,0
CPSBB_TOM073,2,4,3,1,2,6,5,0,7,1,5,1,3,1,2,0,2,1,1,0,3,5,1,5,5,7,95.31,1657,21,6.5,21.7,3.5,56.14,0
CPSBB_TOM074,2,2,3,3,2,2,5,1,5,1,5,1,3,1,2,0,1,1,2,0,4,3,5,5,5,5,86.64,2153,24,6.7,25.2,4.52,60.25,1
CPSBB_TOM076,2,2,3,3,2,5,5,1,4,1,5,1,4,1,2,0,2,3,2,0,4,3,1,5,5,5,145.21,2172,14,5.7,19.4,3.62,51.86,0
CPSBB_TOM077,2,4,2,3,2,1,5,1,5,1,5,3,5,4,2,1,1,3,3,0,1,5,3,5,5,5,310.47,2413,9,6,23.7,3.61,54,0
